Date,Confirmed,Death
2022/02/01,120,0
2022/02/02,81,0
2022/02/03,142,0
2022/02/04,195,0
2022/02/05,351,0
2022/02/06,343,0
2022/02/07,614,0
2022/02/08,625,1
2022/02/09,1161,2
2022/02/10,986,1
2022/02/11,1325,3
2022/02/12,1514,0
2022/02/13,1347,0
2022/02/14,2071,0
2022/02/15,1619,0
2022/02/16,4285,0
2022/02/17,6116,24
2022/02/18,3629,0
2022/02/19,6063,0
2022/02/20,6067,15
2022/02/21,7533,13
2022/02/22,6208,32
2022/02/23,8674,24
2022/02/24,8798,50
2022/02/25,10010,47
2022/02/26,17063,66
2022/02/27,26026,82
2022/02/28,34466,85
2022/03/01,32597,117
2022/03/02,55353,178
2022/03/03,56827,0
2022/03/04,52523,188
2022/03/05,37529,220
